Date,Open,High,Low,Close
20-Feb-17,1048.69,1080.49,1041.69,1079.98
19-Feb-17,1054.76,1056.81,1043.46,1047.87
18-Feb-17,1049.21,1061.1,1046.96,1054.42
17-Feb-17,1026.12,1053.17,1025.64,1046.21
16-Feb-17,1007.65,1033.37,1007.65,1027.44
15-Feb-17,1006.21,1008.84,1001.58,1007.48
14-Feb-17,991.74,1011.51,986.47,1004.55
13-Feb-17,998.88,1002.1,976,990.64
12-Feb-17,1003.52,1004.76,996.92,999.18
11-Feb-17,988.9,1009.29,982.83,1004.45
10-Feb-17,995.63,998.9,946.69,988.67
9-Feb-17,1064.7,1088.99,953.34,994.38
8-Feb-17,1062.32,1078.97,1037.49,1063.07
7-Feb-17,1040.14,1061.93,1040.14,1061.35
6-Feb-17,1028.4,1044.64,1028.16,1038.15
5-Feb-17,1043.52,1043.63,1022.37,1027.34
4-Feb-17,1031.33,1045.9,1015.16,1042.9
3-Feb-17,1011.46,1033.87,1008.79,1029.91
2-Feb-17,990,1013.52,983.22,1011.8
1-Feb-17,970.94,989.11,970.74,989.02
31-Jan-17,920.96,972.02,920.96,970.4
30-Jan-17,920.15,923.05,919.47,920.38
29-Jan-17,922.07,923.42,919.15,919.5
28-Jan-17,919.81,923.91,919.81,921.59
27-Jan-17,918.36,923.22,915.85,919.75
26-Jan-17,902.39,919.33,902.22,917.59
25-Jan-17,891.92,903.25,891.69,901.54
24-Jan-17,910.68,924.14,892.29,892.69
23-Jan-17,925.5,928.27,916.74,921.01
22-Jan-17,922.21,937.52,897.56,924.67
21-Jan-17,895.55,927.37,895.53,921.79
20-Jan-17,898.17,899.4,887.01,895.03
19-Jan-17,888.34,904.61,884.34,899.07
18-Jan-17,909.37,917.5,858.3,886.62
17-Jan-17,830.95,910.56,830.8,907.94
16-Jan-17,821.78,834.53,820.27,831.53
15-Jan-17,818.14,823.31,812.87,821.8
14-Jan-17,825.14,835.09,812.46,818.41
13-Jan-17,803.74,829,780,823.98
12-Jan-17,775.18,826.25,755.76,804.83
11-Jan-17,908.12,919.45,762.76,777.76
10-Jan-17,902.44,914.87,901.06,907.68
9-Jan-17,913.24,913.69,879.81,902.83
8-Jan-17,908.17,942.72,887.25,911.2
7-Jan-17,903.49,908.59,823.56,908.59
6-Jan-17,1014.24,1046.81,883.94,902.2
5-Jan-17,1156.73,1191.1,910.42,1013.38
4-Jan-17,1044.4,1159.42,1044.4,1154.73
3-Jan-17,1021.6,1044.08,1021.6,1043.84
2-Jan-17,998.62,1031.39,996.7,1021.75
1-Jan-17,963.66,1003.08,958.7,998.33
31-Dec-16,960.63,963.74,947.24,963.74
30-Dec-16,972.53,972.53,934.83,961.24
29-Dec-16,975.13,979.4,954.5,973.5
28-Dec-16,934.83,975.92,934.83,975.92
27-Dec-16,908.35,940.05,904.25,933.2
26-Dec-16,896.9,913.18,896.9,907.61
25-Dec-16,899.65,899.65,862.42,896.18
24-Dec-16,922.18,923.48,886.34,898.82
23-Dec-16,864.89,925.12,864.68,921.98
22-Dec-16,834.18,875.78,834.15,864.54
21-Dec-16,800.64,834.28,799.4,834.28
20-Dec-16,792.25,801.34,791.5,800.88
19-Dec-16,790.69,793.61,790.32,792.71
18-Dec-16,791.01,794.74,788.03,790.53
17-Dec-16,785.17,792.51,784.86,790.83
16-Dec-16,778.96,785.03,778.96,784.91
15-Dec-16,780.07,781.43,777.8,778.09
14-Dec-16,780,782.03,776.84,781.48
13-Dec-16,780.65,788.46,777.96,780.56
12-Dec-16,770.04,781.92,770.04,780.09
11-Dec-16,774.75,774.8,765.41,769.73
10-Dec-16,773.02,777.09,772.91,774.65
9-Dec-16,769.94,774.53,769.65,772.79
8-Dec-16,768.08,774.7,765.95,770.81
7-Dec-16,764.21,771.54,759.75,768.13
6-Dec-16,758.72,765.62,758.72,764.22
5-Dec-16,773.39,773.47,751.71,758.7
4-Dec-16,771.64,773.87,768.16,773.87
3-Dec-16,778.25,778.25,764.86,771.15
2-Dec-16,757.54,781.3,757.54,777.94
1-Dec-16,746.05,758.27,746.05,756.77
30-Nov-16,736.28,747.93,736.26,745.69
29-Nov-16,736.33,737.47,734.56,735.6
28-Nov-16,732.48,738.01,732.48,735.81
27-Nov-16,735.44,739.02,731.09,732.03
26-Nov-16,741.51,742.21,729.63,735.38
25-Nov-16,740.44,741.65,734.59,741.65
24-Nov-16,744.62,746.83,733.49,740.29
23-Nov-16,751.74,752.25,738.92,744.59
22-Nov-16,739.64,753.87,736.53,751.35
21-Nov-16,731.26,741.72,730.51,739.25
20-Nov-16,751.88,755.48,717.94,731.03
19-Nov-16,751.83,756.24,744.47,751.62
18-Nov-16,740.71,752.88,736.89,751.59
17-Nov-16,744.88,755.64,739.51,740.98
16-Nov-16,711.17,747.62,709.04,744.2
15-Nov-16,705.79,715.72,705.26,711.62
14-Nov-16,702,706.28,699.81,705.02
13-Nov-16,705.2,705.26,687.32,702.03
12-Nov-16,716.75,717.15,704.03,705.05
11-Nov-16,715.55,718.32,714.41,716.41
10-Nov-16,722.84,723.02,711.21,715.53
9-Nov-16,709.83,740.05,708.61,723.27
8-Nov-16,703.09,712.99,702.39,709.85
7-Nov-16,710.74,710.74,699.9,703.13
6-Nov-16,703.81,714.26,699.56,711.52
5-Nov-16,703.52,707.51,697.74,703.42
4-Nov-16,689.12,706.93,685.56,703.24
3-Nov-16,742.35,745.77,678.16,688.7
2-Nov-16,730.07,740.83,722.35,740.83
1-Nov-16,701.34,736.45,701.34,729.79
31-Oct-16,702.64,709.29,691.68,700.97
30-Oct-16,714.12,714.12,696.48,701.86
29-Oct-16,690.29,720.4,690.05,714.48
28-Oct-16,688,690.44,684.16,689.65
27-Oct-16,678.21,688.59,678.04,688.31
26-Oct-16,657.68,679.73,657.68,678.3
25-Oct-16,654,664.42,653.7,657.59
24-Oct-16,657.16,657.25,652.6,653.76
23-Oct-16,657.62,661.13,653.89,657.07
22-Oct-16,633.14,658.2,632.85,657.29
21-Oct-16,630.83,634.09,630.69,632.83
20-Oct-16,630.66,631.92,628.26,630.86
19-Oct-16,638.13,638.87,628.01,630.52
18-Oct-16,639.41,640.74,636,637.96
17-Oct-16,641.82,642.33,638.66,639.19
16-Oct-16,639.08,642.9,638.9,641.63
15-Oct-16,640.31,642.1,637.39,638.65
14-Oct-16,637.01,641.28,637.01,640.38
13-Oct-16,636.03,638.83,635.03,636.79
12-Oct-16,640.87,641.34,635.97,636.19
